,Name,Price,Reviews,Description
0,Apartment in Juhu,"₹23,058",4.76,Bliss - Entire Studio in Vile Parle
1,Room in Mumbai,"₹18,259",4.88,Bedroom at Delphi Bungalow
2,Room in Bandra West,NA,4.84,"Cozy room with park view in Penthouse, Bandra West"
3,Flat in Santacruz East,"₹45,648",4.96,Beautiful Studio Apartment Near Mumbai Airport
4,Room in Khar West,"₹8,519",4.83,Nani Ka Ghar - Moon Bunk ( Men Only)
5,Flat in Mumbai,"₹15,977",NA,"307,
 Cozy 2BHK | Andheri West Station Close"
6,Apartment in Andheri East,"₹29,500",4.74,Zen 2BHK King Bed Safe 55TV Wifi Kitchen Powai
7,Flat in Goregaon West,NA,4.98,City Nest with Free Smiles!
8,Shared room in Khar West,"₹11,641",4.89,Nani ka Ghar - The Solitude Loft (WOMEN ONLY  )
9,Room in Khar East,"₹13,409",5,Khar Centerpoint
10,Shared room in Khar West,"₹9,130",4.93,Nani Ka Ghar – Snug Bunk in cozy dorm (WOMEN ONLY)
11,Room in Chandivali,"₹24,551",4.89,Modern Cozy & Sparkling Clean Stay Near Airport
12,Shared room in Khar West,"₹8,605",5,Nani ka ghar - Nap Nook in cozy dorm ( Men only)
13,Flat in Mumbai,"₹36,968",NA,Modern 1BHK | D 1504 | AC |Smart Tv| Nook&co
14,Apartment in Bandra East,"₹45,568",4.96,Luxury 2BHK Apt in BKC near US Consulate & NMACC
15,Flat in Kurla West,"₹47,136",4.94,City Homes Elite Apartment
16,Place to stay in ONGC Colony Bandra West,"₹19,971",4.94,Cozy Room On Hill Rd
17,Place to stay in Mumbai,"₹30,000",NA,Room @ Lokhandwala 100+ Eateries & Stay with Host
18,Flat in Mumbai,"₹32,550",5,Dream 1BHK 10 mins to Sea City View TV Wifi Clean
19,Room in Mumbai,"₹17,118",4.84,Elegant room in Penthouse at Bandra West - AC+Wifi
20,Flat in Mumbai,"₹27,674",5,Ikigai
21,Flat in Mumbai,"₹23,572",4.72,Aura - Entire Studio in Vile Parle
